Episodes	Reward	AvgReward	Iterations	Loss
0	-164.82188837995125	-164.82188837995125	75	18.802439719438553
1	-164.3478232354732	-164.58485580771222	86	3798.0670798160136
2	-142.07529206208096	-157.0816678925018	72	2126.695342168212
3	-132.14683220064398	-150.84795896953733	71	1955.1472156196833
4	-178.9379895026163	-156.46596507615314	64	1130.7947040945292
5	-208.28940328308562	-165.10320477730855	63	1785.4113964997232
6	-158.1597733611162	-164.11128600356682	75	1685.2570337206125
7	-215.0165399672527	-170.4744427490275	145	5167.4095467329025
8	-152.71390062664597	-168.501049179874	104	1415.606199361384
9	-268.0469679096858	-178.45564105285516	100	545.8943179175258
10	-327.8371038363872	-192.03577403317624	72	576.345193952322
11	-123.90991958151764	-186.35861949553802	86	847.8635308295488
12	-115.66842487493597	-180.92091221703018	104	750.5366541147232
13	-242.84593381119075	-185.3441280451845	63	261.60536524653435
14	-153.71222420691925	-183.23533445596684	107	390.59286481142044
15	-266.9572779843128	-188.46795592648846	102	1079.0951495170593
16	-172.52442269540308	-187.53010103054226	73	587.9450091049075
17	-326.9673426477565	-195.27661445372084	86	976.1409198716283
18	-371.9718677738951	-204.57636462846685	107	1208.70704780519
19	-144.8818312582698	-201.591637959957	88	842.7982866615057
20	-157.16827867758923	-199.47623989889186	63	511.5685067027807
21	-310.8136994307215	-204.53703351397505	99	348.8506566733122
22	-194.9884710454147	-204.1218786240376	72	378.5135157108307
23	-374.8063874018004	-211.2337331564444	77	249.4828486815095
24	-209.8651041245513	-211.17898799516868	120	960.7888916730881
25	-134.65657977142382	-208.23581844810158	120	749.3226564452052
26	-229.55221254893942	-209.0253145259104	109	896.0041175186634
27	-182.44054707422572	-208.07585854549308	75	413.84060506522655
28	-106.19091701727031	-204.5625846996923	132	1110.999888844788
29	-32.19664597464208	-198.81705340885728	69	632.3340500742197
30	-163.02859704718503	-197.6625870746098	86	1735.726620003581
31	-293.1033046453019	-200.6451094986939	114	756.9237235337496
32	-219.1282910923707	-201.2052059106235	95	1725.8100001960993
33	-115.108552515233	-198.67295139899437	93	809.3309856057167
34	-149.6376615359464	-197.27194311719302	65	1650.5799381136894
