Episodes	Reward	AvgReward	Iterations	Loss	Time
0	-121.25366955659351	-121.25366955659351	56	17.584386371076107	2.742861270904541
1	-318.8955027379667	-220.07458614728012	78	2885.178677916527	4.681707143783569
2	-385.3365876859205	-275.16191999349354	91	2416.2988466620445	5.1000120639801025
3	-180.92072217310385	-251.60162053839613	89	1849.5811132788658	5.448840141296387
4	-148.07701739565272	-230.89669990984743	124	1901.5736589431763	5.960409879684448
5	-451.1331083230969	-267.60276797872234	81	1886.6640115976334	6.2965309619903564
6	-261.93040112236235	-266.7924298563852	66	1136.094783037901	6.5493409633636475
7	-20.62287093537077	-236.02123499125844	88	1956.6825878620148	6.890127182006836
8	-437.22496009666355	-258.37720444741456	125	6673.620888888836	9.414411067962646
9	-424.50941388145867	-274.990425390819	94	6845.201938897371	9.840095043182373
10	-200.12853859018054	-268.18479931803364	103	5771.448726803064	10.248556137084961
11	-276.23323790809536	-268.85550253387214	110	7491.277851521969	10.755988121032715
12	-198.022656285843	-263.40682205325453	89	6298.525596916676	11.1856369972229
13	-64.17480528238075	-249.17596371247782	76	7334.850183129311	11.488102912902832
14	-170.07831255684223	-243.9027869687688	80	7771.291978240013	11.803255081176758
15	-297.9402776671519	-247.2801301374177	81	7434.330387175083	12.12169623374939
16	-240.8283886731846	-246.90061593363927	109	8708.654975056648	12.554811954498291
17	-326.1049548446827	-251.3008569842528	104	9685.855196356773	12.960963249206543
18	-225.1316425939931	-249.92352991108123	124	6287.738733172417	13.455104112625122
19	-156.55647901138798	-245.25517736609655	76	1879.0646708011627	13.753235101699829
20	54.85731642535023	-230.9641062331705	1000	21979.801487267017	18.478864908218384
21	-198.52948587900562	-229.4898053079812	67	1282.0838658213615	18.76993703842163
22	-123.686767603828	-224.88967323388758	131	1834.8337360322475	19.408802270889282
23	-344.96857475857666	-229.89296079741632	70	758.3874582648277	19.699535131454468
24	-109.73451076232206	-225.08662279601256	84	1336.967630892992	20.044886112213135
25	-189.3630258494392	-223.71263829806745	106	1918.4478839039803	20.476640224456787
26	-135.85992541225863	-220.45883411711154	75	1369.161498337984	20.784512042999268
27	-185.76273268958334	-219.21968763755697	115	2360.3669729828835	23.242384910583496
28	-97.55388839112891	-215.0243152497491	112	2098.5730301737785	23.77288317680359
29	-126.06097005369186	-212.0588704098805	123	3012.552993953228	24.275453090667725
30	-129.47826095252077	-209.39497978222374	133	1810.446180820465	24.83624505996704
31	-99.18387909854727	-205.95088288585887	135	2111.211045920849	25.476287126541138
32	-152.97638243155043	-204.34559499330408	69	743.7154703140259	25.80160427093506
33	-240.89825756253322	-205.42067330416376	133	2168.2742699980736	26.370683908462524
34	-272.86636691900867	-207.34769312173074	88	1654.6844133734703	26.725081205368042
35	-229.39197557664164	-207.96003430103383	180	2157.736112177372	27.464828968048096
36	-379.1661342895892	-212.5872261926164	117	2301.673880457878	27.941895008087158
37	-141.96723917510724	-210.72880548162934	81	1163.7884795069695	28.269606113433838
38	-119.0987813537048	-208.37931768347744	154	2900.616617977619	28.919822216033936
39	-143.1074903163972	-206.7475219993004	88	1531.236884713173	29.28760004043579
40	-247.50164158371226	-207.74152491599338	105	1306.79503595829	29.72235608100891
41	-69.98801325986359	-204.46167940037122	115	2608.784540325403	30.267954111099243
42	-139.93254364194718	-202.96100182459392	75	997.695448756218	30.636341094970703
43	-336.3723605969516	-205.99307816032933	133	1238.8416491746902	31.212400913238525
44	-377.6597067273126	-209.80789212848453	146	2229.819595903158	31.827417135238647
45	-139.31443069991641	-208.27542557568955	71	1272.5595625936985	32.118671894073486
46	-165.8984553221481	-207.3737879107206	194	2046.2915996015072	32.93771505355835
47	-44.50669596462844	-203.98072349517702	113	1735.158129543066	33.40238332748413
48	-386.4290509054062	-207.704158748447	129	1931.170523762703	33.93906116485596
49	-91.06841922643363	-205.37144395800675	95	1341.0748984217644	34.572630167007446
50	-89.1576140004204	-203.09274140981879	86	1288.1058596670628	35.76847219467163
51	-79.88144282817751	-200.7232933601718	123	1050.986173659563	36.66618824005127
52	-34.75608630971618	-197.59183662337077	180	2237.073775291443	40.169716119766235
53	-67.70012862991348	-195.18643462349192	140	2392.5162100195885	41.6430139541626
54	-86.36084554533664	-193.20778754934364	153	2593.202946662903	42.63076710700989
55	-36.96847881233633	-190.41779989332568	126	1661.071885585785	43.254380226135254
56	-153.63701350015236	-189.77252293905948	79	1215.3974524140358	43.64611625671387
57	-266.11887500525455	-191.08883935399388	97	766.9957741498947	44.143781900405884
58	-117.17325922738934	-189.83603291117007	178	1462.5094686746597	44.9883930683136
59	-56.550423406225335	-187.61460608608766	79	1525.873318374157	45.34870505332947
60	-47.46255674490711	-185.31703150672405	127	2448.579673230648	45.92519927024841
61	-113.69234834258287	-184.16179468149596	118	1059.9165167212486	46.47665309906006
62	-102.82515828472015	-182.87073696091224	124	3379.457070887089	47.039088010787964
63	-179.54533733439047	-182.8187775917478	121	1828.2874225378036	47.564476013183594
64	-156.2817724099737	-182.41051597356665	190	2668.936051785946	51.232301235198975
65	-146.07560305611037	-181.8599869899688	221	3586.0378927886486	52.2802460193634
66	-95.37882824699349	-180.56922342664083	93	1066.5662583708763	52.69527506828308
67	-200.87975935385077	-180.86790777851158	174	2078.860513806343	53.475099086761475
68	-172.5448347905368	-180.74728353230904	131	2183.1046729683876	54.06346607208252
69	-344.28359789347206	-183.08351659461138	203	2969.2435082793236	54.99925899505615
70	-157.78341126529438	-182.72717708293087	248	4622.294896781445	56.19230127334595
71	-213.18684056247315	-183.15022796459118	260	3524.2677749991417	57.518301010131836
72	-301.68643163438094	-184.7740115765061	113	2388.6935225725174	58.01436185836792
73	-258.3212791211238	-185.7678935703523	327	6585.855992078781	59.61336612701416
74	-74.10435766798301	-184.27904642498737	170	3166.7728452682495	60.55983328819275
75	-190.18004696365642	-184.35669116891722	185	5293.1265570521355	61.496522188186646
76	-78.57931435093866	-182.98295900244997	139	5669.387100756168	62.133602142333984
77	-167.92642765860091	-182.78992654932367	360	13797.011747419834	63.89457106590271
78	-309.7815814137118	-184.39741585140456	196	6972.825005710125	64.9075562953949
79	-269.9918473394414	-185.46734624500502	164	4690.565372467041	65.64412808418274
80	-27.448725774176836	-183.5164990786985	190	7338.580415189266	66.52237820625305
81	-245.80612014271202	-184.27612860386938	158	5496.543647408485	67.27959203720093
82	-183.25624783890424	-184.26384088380956	503	15989.390380322933	69.86589288711548
83	-72.4605053157606	-182.93284879371376	166	3827.257070839405	70.60730195045471
84	-16.311681818803862	-180.97259977047955	173	5984.178665816784	71.396653175354
85	-95.24030863323222	-179.97571266423247	365	11470.78016513586	73.14492511749268
86	-333.10659689716726	-181.73583777035816	175	4986.124813556671	73.94652128219604
87	-231.1258391092989	-182.29708778557335	126	3028.6559306383133	74.51436114311218
88	-261.94543822950106	-183.1920130714602	175	8853.61632668972	75.31253504753113
89	-93.6262462664206	-182.1968378847375	95	2555.260223388672	75.74829411506653
90	-290.09958565255977	-183.38258236570258	135	2923.2048979997635	76.38068723678589
91	-50.493515448171145	-181.9381359861642	168	9250.18692624569	77.25535917282104
92	-234.02441187916654	-182.49820346888467	561	25810.856572270393	80.22132420539856
93	-304.5213331976795	-183.79632187025484	254	11217.737499833107	81.45710802078247
94	-192.18880606969026	-183.88466380919627	126	6552.684345841408	82.03800511360168
95	-351.1533332724393	-185.62704578277172	996	45489.20259940624	89.54342007637024
96	-260.44683018641854	-186.39838376631448	654	28151.889034986496	93.45042324066162
97	-182.97011389681097	-186.3634014207073	189	9256.094646692276	94.41326808929443
98	-151.58757485171287	-186.01213044526293	242	11474.043378353119	95.7104880809784
99	-182.0607136502893	-185.97261627731316	194	9748.81665635109	96.68526601791382
100	-222.06516961329618	-186.32996829054073	280	9540.554037928581	98.09167313575745
101	-152.21088108829122	-186.63647533540902	159	10502.853734493256	98.91175723075867
102	-199.60885649986898	-185.45541943206152	351	14893.129369735718	100.67522811889648
103	-174.51151316283187	-183.3680424565854	226	8932.840109348297	101.7865800857544
104	-211.65039798258596	-183.67229667252087	223	14705.929891228676	102.86216402053833
105	-222.62778138135724	-184.41042304861696	245	12380.994249105453	104.09128308296204
106	-179.21566212277753	-181.71817110603953	233	14583.862132906914	105.23851203918457
107	-234.78264364208664	-181.449381428017	273	15752.023805379868	106.610759973526
108	-186.96270596654048	-183.09631048773153	188	10337.238887906075	107.51893210411072
109	-194.40158230757268	-180.69211862843358	1000	31349.07740831375	113.29606103897095
110	-243.92953104265317	-178.90419899636618	644	19999.628763139248	116.93763017654419
111	-177.85102465170263	-178.68362955143078	218	10360.716137230396	118.08397817611694
112	-194.36252818753763	-177.87302846508865	1000	25973.177797079086	124.34877490997314
113	-305.51309279406377	-178.93729021269476	725	17036.202102839947	128.80666208267212
114	-188.30542474006035	-180.16630624692925	1000	30128.42123800516	134.23307704925537
115	-95.87178483194575	-179.43158815064317	1000	25446.033038258553	140.33479714393616
116	-208.2315855677296	-178.54338327837166	209	4315.460079193115	141.40421628952026
117	-253.77043202136463	-178.67152232142294	1000	20809.11342614889	148.76860904693604
118	-266.806750803128	-178.08441139031842	310	21477.918841183186	150.39678812026978
119	-283.49467551297226	-178.6622632013974	101	9123.630462050438	150.87649512290955
120	-378.39207911701953	-180.85865528165115	89	9376.668049573898	151.3078842163086
121	-320.2285204906575	-184.57237643923546	221	6486.564002990723	152.47526907920837
122	-241.5632454580687	-184.99845326675091	55	856.2559951543808	152.7422971725464
123	-219.4063918485	-185.94617231867838	1000	22428.500301718712	158.56760621070862
124	-142.39824312558412	-183.94052547082697	1000	22169.704777002335	165.01561093330383
125	-148.25000505517374	-184.32186699847892	1000	27231.607468366623	184.1262800693512
126	-159.1139790755084	-184.02237148586576	1000	23806.92967569828	190.89988899230957
127	-222.62937176956444	-184.88147491514601	287	8922.852668046951	192.5392882823944
128	-150.64362431747327	-184.5337609708677	1000	21957.344203829765	199.560161113739
129	-209.9457538830638	-185.64655171831262	1000	26164.984491050243	206.22640109062195
130	-130.5785405872834	-185.69128013943728	1000	21230.12672674656	213.50183510780334
131	-170.97212488927613	-186.10211047544473	1000	16517.183530032635	219.8322241306305
132	-264.8923661797859	-187.742788565358	595	12060.764388203621	223.30517506599426
133	-149.7174008701753	-187.710521421186	1000	15986.504180371761	229.42069625854492
134	-148.01216727156594	-186.79085716087934	1000	25030.983044862747	236.3895661830902
135	-336.199115464858	-187.41791407717486	352	6318.007735133171	238.3982129096985
136	-176.5069034425084	-186.8942995015894	1000	17756.494201868773	245.38144612312317
137	-330.86615061213286	-186.41608184141657	899	15262.489116549492	251.4391119480133
138	-150.2895470414494	-186.49848092920212	1000	14715.993043065071	258.0124750137329
139	-217.90870892610297	-187.47679704378032	1000	18828.498842716217	265.36739802360535
140	-322.90865662240776	-189.25700661116653	188	2502.66874986887	266.4491469860077
