Episodes	Reward	AvgReward	Iterations	Loss
0	-401.6266519653152	-401.6266519653152	94	122.12416908144951
1	-418.93135203181856	-410.27900199856686	106	3300.66350287199
2	-160.99529016488523	-327.18443138733966	97	2429.55196171999
3	-160.65670201921418	-285.55249904530825	95	2759.5351136922836
4	-450.433011572584	-318.5286015507634	96	3678.2373955249786
5	-180.21250146442986	-295.47591820304115	116	4657.94981521368
6	-202.45594257700154	-282.1873502564641	84	2699.6681528687477
7	-155.44846744907466	-266.3449899055404	99	3003.5246846079826
8	-191.38165687014043	-258.01573067938483	106	3233.7154018878937
9	-303.5724538914543	-262.5714030005918	114	3019.9064004421234
10	-155.85822830285304	-252.87020530079735	65	1029.4629173278809
11	-234.26228629247984	-251.31954538343757	97	2358.0376252532005
12	-295.0403019490181	-254.68268050386683	102	2911.921530544758
13	-423.9031451054977	-266.76985654684046	95	1993.7201567292213
14	-186.52316218283957	-261.42007692257374	96	3873.464922219515
15	-418.7494083922776	-271.25316013943024	115	4375.438806295395
16	-148.49064224354302	-264.03183555731925	65	1771.027267575264
17	-135.21764446277902	-256.87549160762256	77	2235.9465233683586
18	-172.29138363791247	-252.42369645132203	67	1875.7473080158234
19	-165.51229278729505	-248.07812626812068	95	2341.52303057909
20	-331.10363588241125	-252.0317219640393	88	2898.761919438839
21	-272.04402816584576	-252.9413722459396	94	2954.6411202847958
22	-312.5425532402704	-255.53272794134529	86	1733.6356383562088
23	-261.7447859259919	-255.79156369070552	81	1857.5170108675957
24	-246.99246474665506	-255.4395997329435	91	1452.6616181135178
25	-165.38757045981407	-251.97606014551545	92	2780.1317044496536
26	-143.13536260073752	-247.94492319941256	79	1076.5363357067108
27	-180.58212832917485	-245.53910909690407	95	2543.107605755329
28	-159.97824567908856	-242.58873449628976	70	1928.935041487217
29	-140.488572500134	-239.18539576308459	57	1473.9758366942406
30	-360.3791214020354	-243.0948707836959	89	2189.677139401436
31	-342.9716927909402	-246.21602147142224	132	4777.357244372368
32	-281.8215291281126	-247.2949762488977	70	1663.8574705719948
33	-309.6271363481016	-249.12827507534487	87	3947.43484339118
34	-115.51728876519175	-245.3108183236262	63	1730.4903228580952
35	-389.17365318932536	-249.30700818100675	101	2669.1809192299843
36	-411.4131147015054	-253.6882543031824	104	825.3474342823029
37	-220.2324155791994	-252.8078374946565	100	4600.972331225872
38	-175.24333292034254	-250.81900404403308	70	1684.888435602188
39	-131.6086423250592	-247.83874500105875	105	4433.697673261166
40	-150.6377524476451	-245.46798908512184	71	2941.086318552494
41	-134.1932643631572	-242.81859087745602	83	2587.0729669332504
42	-69.66017211315717	-238.79165090619324	95	3310.3401354551315
43	-254.92357314035488	-239.1582855024242	126	6680.141539871693
44	-455.34438602477474	-243.96242106958755	109	3302.39423507452
45	-111.81791878998186	-241.08971449829178	109	3311.07876932621
46	-71.3125438221939	-237.47743427114077	103	2219.8153769373894
47	-294.64180137553524	-238.66835858581567	110	4346.944218277931
48	-431.2378157020002	-242.59834750655412	102	2220.8464285731316
49	-174.02673197706252	-241.2269151959643	66	2158.763340383768
50	-223.30434317709785	-240.8754922152022	65	2152.720168620348
51	-444.53572745855365	-244.79203520065127	101	3009.4563005566597
52	-279.9799420610707	-245.45595797160257	58	1647.486100435257
53	-140.81418892966477	-243.5181474337889	72	2501.655352950096
54	-244.7356236454696	-243.54028336491035	100	3213.7705729603767
55	-368.8935741671633	-245.77873498637913	114	3831.913992702961
56	-158.71961334213188	-244.25138197507655	104	1998.1163315474987
57	-117.0114928056286	-242.05759078249986	83	3032.7478044629097
58	-329.39537220635304	-243.53789216256516	101	3586.6885833740234
59	-364.42583442710804	-245.55269120030752	90	2282.0536742806435
60	-68.0662308540256	-242.6430770962701	74	3128.5209671854973
61	-279.1093982001031	-243.23124356568678	98	4678.003671944141
62	-215.2469506502967	-242.78704844004568	100	2588.743145465851
63	-421.0669125800142	-245.5726713172327	93	2465.18137973547
64	-202.40470480829538	-244.90854875555675	95	3391.1660748124123
65	-177.8635184666094	-243.89271496329997	85	3371.4197201132774
66	-340.6897093978962	-245.33744622351782	96	3252.346368432045
67	-242.61835217932543	-245.2974595463973	124	4310.516242384911
68	-213.63191467474496	-244.83853860622844	109	4327.431450247765
69	-217.66709253901743	-244.45037509098256	96	2846.7686925530434
70	-200.6361301617369	-243.83327304972556	90	2386.417221456766
71	-176.11384081139022	-242.89272537974875	59	1669.5656124353409
72	-128.41585885985037	-241.32454912605152	112	3291.5725819319487
73	-158.27090484312197	-240.2022025816876	90	3044.420964539051
74	-203.8500923252045	-239.71750777826782	67	2181.544385164976
75	-246.5650579397341	-239.80760712249761	74	1807.4565200805664
76	-295.38899234796514	-240.52944329425694	127	3884.812202870846
77	-128.92866289939445	-239.09866405842536	58	2323.197398662567
78	-151.38502628992603	-237.98836484616587	76	3471.3652353286743
79	-208.71442236656617	-237.62244056517093	84	2446.969144284725
80	-211.23172263480205	-237.29662923269723	97	3887.4675467014313
81	-173.63605306336308	-236.52028074282734	128	3838.2240040898323
82	-184.50580345403384	-235.89360029356476	83	2895.6658925414085
83	-156.1559221395862	-234.94434222030313	88	2044.2632983326912
84	-159.92485125281303	-234.06175997362678	63	1573.947797179222
85	-214.40863425802746	-233.83323525600352	76	3018.8530759215355
86	-195.02829304504388	-233.38720143748677	98	3033.3356354236603
87	-140.3701145622424	-232.33018908663163	62	2104.8079650998116
88	-176.81134789233744	-231.70638188220136	82	2944.6417123675346
89	-110.20466786809722	-230.3563628376002	123	5053.8712266385555
90	-145.72106144096233	-229.4263045804943	101	3847.6734235286713
91	-140.322954219757	-228.4577899026602	64	1724.0258131027222
92	-246.63643668589316	-228.65325922291004	85	2825.158351659775
93	-156.31272440841641	-227.88367906530905	60	3013.5652444660664
94	-197.38383687211768	-227.56262809485443	91	3458.794701218605
95	-173.1553234913635	-226.99588533856806	69	2524.2489070296288
96	-144.60879695908804	-226.14653391197547	60	1410.8315601348877
97	-150.31851422398677	-225.3727786090368	91	2067.236489623785
98	-142.3390479425693	-224.53405405685027	63	1751.5713992714882
99	-211.3818751566648	-224.40253226784841	56	1752.1271045207977
100	-133.37657929709357	-223.50128520873204	80	2423.0787275731564
101	-200.1522814502767	-221.50648946105835	80	2432.811051338911
102	-191.89837670277603	-219.25863822017672	75	974.1237868666649
103	-124.47368203659107	-218.8970381396986	66	1941.0147685408592
104	-167.4412210716382	-218.9642115956632	72	3151.806886792183
105	-139.52228308670038	-215.88588755124843	79	2958.572411954403
106	-202.2806792527685	-216.104384361034	78	803.6457171738148
107	-69.41720687111044	-214.7871691560252	116	3372.5283918380737
108	-258.8931959504404	-215.81137438871198	109	3502.096415668726
109	-199.98967679208022	-215.89660230873116	71	2783.0600746273994
110	-145.86359057163025	-214.3351284144755	70	1161.6763463020325
111	-231.42930997927468	-215.08335694592517	63	1908.5936470627785
112	-177.3048943967043	-214.51942237269972	96	4442.7068702578545
113	-324.9516677195311	-214.81557450904143	92	1390.4083269834518
114	-180.82912076139903	-212.408901000684	70	1617.9399415254593
115	-112.22892163465266	-211.67331446060297	63	1910.0386546850204
116	-252.0482709032309	-210.0228081488302	92	3453.7769482135773
117	-139.09890979930057	-209.92982069888723	105	2423.6520602703094
118	-182.45084736957585	-210.39747617321197	68	2517.717860341072
119	-361.3379755859808	-212.26922460834132	89	2749.821823656559
120	-194.78728470648082	-212.55907601348179	93	2930.240075200796
121	-252.98298007090256	-211.78560417376383	112	2244.3958287239075
122	-315.86431489180416	-212.21946839877336	87	4221.082667350769
123	-153.58286781760123	-210.64561012726182	122	3378.4139275550842
124	-198.24898911747545	-210.0169388717319	74	1258.4185480475426
125	-230.92266549503952	-209.85783194844856	67	2446.8399163782597
126	-206.8666450132656	-210.2685158549184	106	4197.58511865139
127	-439.03717429505986	-213.19823676278298	94	2986.8185570836067
128	-132.4491412296099	-212.7216725340744	84	2338.6354823708534
129	-436.40619141191127	-215.45858288786474	118	1761.8619628548622
130	-169.5464249749344	-215.74628439751623	70	3662.773284316063
131	-283.88985534450956	-214.98896493160015	103	3383.767322540283
132	-127.03733382418852	-212.8510009814343	115	2021.1781700849533
133	-216.27708538352226	-212.20204609287399	118	3942.0030338168144
134	-60.575401956754746	-209.736187336524	90	2090.2567052841187
135	-188.86634838278027	-210.4624156495694	105	3305.076207727194
136	-271.1810163510719	-209.29417172047783	67	2928.859688639641
137	-190.16317814929207	-207.10357828926777	88	2463.7850001752377
138	-29.837909643430947	-205.21848417109183	85	3658.2094244360924
139	-80.14027868264978	-204.27686977269886	80	3337.9282780587673
140	-542.728729446257	-208.34736568478993	97	2193.682370007038
141	-134.60247737665253	-208.18860058507715	68	3320.2445620298386
142	-117.89664499507886	-208.02724791806648	64	1529.5546904206276
143	-120.0770663019322	-208.52642508825238	63	1403.46899202466
144	-137.53990475070657	-207.364210549741	68	2839.913722038269
145	-62.16211870869537	-203.47131681393822	115	2126.9116975069046
146	-140.90515349828894	-203.75930923679277	62	1655.3796657919884
147	-109.17818397937815	-204.13421656508172	59	2136.102313309908
148	-157.0816463707761	-202.77223483236133	57	2536.619992017746
149	-157.43039987879064	-200.06127031926025	69	2886.3382819890976
150	-152.12534089981034	-199.84442486304985	94	2599.1938695311546
151	-287.15852392528916	-200.47664447441804	105	3211.0734940469265
152	-408.72540237574714	-200.1220868003309	97	1922.353366136551
153	-128.98429573146785	-198.62708040102788	100	2537.6574234366417
154	-208.34010462630502	-199.2956538237669	95	3482.238047659397
155	-193.90380236004964	-198.79236846450533	63	3165.6281158328056
156	-75.00698715487614	-195.88260027626487	91	3677.3298181295395
157	-245.42183342023603	-196.74103809882033	82	1901.05395758152
158	-245.25288620395972	-198.0107548651404	90	3837.4843931794167
159	-307.32481962524344	-197.79223454255518	79	2305.098543345928
160	-141.6261453221636	-195.58629702666462	86	1191.9578276574612
161	-128.78167692401672	-196.18744005706054	56	1658.0350122451782
162	-175.6958640102268	-195.16354367894297	71	1699.5903015732765
163	-222.22414631608385	-195.2326248241488	101	3893.056724727154
164	-203.84573877785334	-193.08192013303832	124	4221.061643779278
165	-142.53185484675572	-192.48911963836963	68	1214.8464104533195
166	-288.8698339255307	-193.58819206865596	101	3241.968108922243
167	-142.7628545214625	-191.62852023819622	83	3502.4465807676315
168	-306.6923974824788	-192.26291672634625	107	1866.7549496889114
169	-133.4177358934974	-191.4687169364329	101	3232.878924190998
170	-180.5747735686483	-191.101466253558	102	3749.571158617735
171	-185.93128412107478	-190.95587371850192	59	1418.8098602294922
172	-287.2068802505065	-192.0558048020575	109	2015.5258640646935
173	-300.08870992577243	-193.75553600072996	100	2366.4476582705975
174	-260.1485647962375	-194.76422570323606	88	2162.9025696516037
175	-242.6801227224806	-195.14868144974375	66	2462.0211520791054
176	-184.0637390170259	-194.529856509915	96	2717.466148495674
177	-154.64120901647127	-193.13631410069223	76	3308.379007846117
178	-152.43966726878142	-193.36909632217134	117	4719.9708532989025
179	-169.07353703059948	-193.544230091881	88	3005.104590535164
180	-136.1334704252077	-192.8256068053329	58	1870.713384091854
181	-133.87295269099621	-192.05967839004765	60	2489.3208747804165
182	-161.79227674760446	-191.94241327801046	71	1926.0829856991768
183	-132.07551123646215	-191.42330147387608	85	1841.1126731038094
184	-396.6307585139412	-193.8042404478796	80	3539.154623270035
185	-154.9408556817146	-193.75489395707663	63	1637.9004932045937
186	26.451184963821632	-191.3701432717118	101	3043.2200101315975
187	-230.1331136929759	-191.71771575337445	89	3525.5592465400696
188	-136.63075238172325	-191.68069236544858	62	2397.976133942604
189	-137.53230005685228	-191.29179090173093	58	2892.8574442863464
190	-287.24586181997813	-193.04467401016535	115	4784.215397179127
191	-162.24121744639072	-193.20823991120918	82	1739.780170738697
192	-272.9634250608268	-194.52151189973463	86	3973.498965740204
193	-197.17346767186785	-194.03177953325914	105	4062.6094782352448
194	-188.30589321426322	-194.34854358084178	88	2796.651553630829
195	-350.04806519298234	-195.8600705939196	88	2946.895294010639
196	-271.1863278129665	-196.83067459710384	85	1374.3285757899284
197	-195.36619779149504	-197.333223120197	132	3242.9746302366257
198	-238.02688594018986	-198.20162284015947	102	3498.8266843259335
199	-43.20903158459679	-197.22013752968445	65	1952.6050663590431
200	-146.57486642994314	-196.57848397793475	75	2161.2112498879433
201	-149.51441461214068	-196.73826452560846	66	2996.6263816952705
202	-139.2191694096748	-196.1349663865926	98	3996.8963573873043
203	-166.57032312762402	-195.88419357891783	93	2773.7830458283424
204	-166.8543745996791	-196.30380439637415	63	1986.5587205290794
205	-289.5418974242813	-197.51272198402413	89	1253.1809372901917
206	-31.23564811509968	-196.4405770833152	124	3238.6604647934437
207	-197.83125234064133	-196.39652335151195	82	3807.5581818819046
208	-152.59349508835646	-197.22005095762327	60	1485.50895267725
209	-412.99445443936	-198.74580599216705	122	5060.294530391693
210	-278.8785218440195	-199.52688366594862	92	3429.94820278883
211	-361.6999135447154	-201.6638769627118	115	4055.4628115296364
212	-159.22242749648845	-200.94895733416936	78	5263.790589749813
213	-156.78047556878283	-200.7457452665662	75	1450.1296141147614
214	-408.32296998387585	-201.57120370482707	124	3835.3593301177025
215	-154.87535954322618	-201.31423577197387	69	2260.816834926605
216	-342.4474571752163	-203.59362721296955	92	2392.0930035710335
217	-111.73035026824093	-202.20434087004884	66	1712.1536707282066
218	-231.34801145462464	-203.11769831218075	69	3766.3307376503944
