Episodes	Reward	AvgReward	Iterations	Loss
0	-260.89130328371965	-260.89130328371965	95	0
1	-124.62002409320296	-192.7556636884613	103	1094.2276258170605
2	-182.9045129968731	-189.47194679126525	114	742.4329672455788
3	-172.73741833576477	-185.28831467739013	90	358.28136137127876
4	-457.34996018740327	-239.70064377939275	99	354.80162316560745
5	-191.9505016676715	-231.74228676077254	119	409.30367028713226
6	-148.15783307161811	-219.80165051946477	58	145.40652504563332
7	-172.81051727056064	-213.92775886335176	86	186.92670047283173
8	-114.8390794864941	-202.91790559925644	91	156.15555825829506
9	-192.02337137946105	-201.82845217727692	110	144.56447583436966
10	-186.21088967508499	-200.40867376798676	90	130.35899645090103
11	-173.7885573505742	-198.19033073320236	132	208.9402515888214
12	-117.23106647474067	-191.962695021013	64	103.53889983892441
13	-209.47604804622193	-193.21364880852792	130	248.2480981349945
14	-129.18709273476088	-188.94521173694343	75	169.55106794834137
15	-170.3638502257969	-187.7838766424968	123	273.90839046239853
16	-109.79616110462531	-183.1963639637985	119	248.7017827630043
17	-136.37534764524867	-180.59519639054574	68	369.2098459005356
18	-177.27727704806233	-180.4205690567308	99	599.0791672468185
19	-163.23445743441093	-179.56126347561482	125	832.3251540064812
20	-115.51203469519399	-176.5113002003567	109	604.3386064767838
21	-177.77505237514657	-176.56874348102895	84	504.29590636491776
22	-257.9722444361022	-180.10802613124955	63	554.2681448459625
23	-156.90016542707036	-179.14103193524204	107	805.4655453562737
24	-127.58138495573523	-177.07864605606176	86	394.73951864242554
25	-136.50057680574406	-175.5179510848957	73	459.31365579366684
26	-134.0654701424733	-173.98267401295416	111	371.35700023174286
27	-193.60353383445232	-174.6834190065791	76	353.1564072370529
28	-154.0531911513142	-173.9720318391562	78	430.9471951723099
29	-435.8921162563744	-182.70270131973015	128	645.7920858263969
30	-155.6531466725124	-181.83013504078764	63	387.83956503868103
31	-168.00222049958367	-181.39801271137497	68	381.8102697134018
32	-172.08690177308682	-181.11585783445713	118	667.6562501788139
33	-26.926083963453067	-176.58086448530997	86	446.4747636318207
34	-211.7844771993608	-177.5866819914257	90	718.2017097473145
35	-120.23683816814759	-175.9936307741124	81	494.2146193385124
36	-145.82859116665247	-175.17835943337025	102	504.94431334733963
37	-292.1490027666641	-178.2565342579306	94	670.4055767655373
38	-282.0731033837719	-180.91849756884963	99	701.9533494114876
39	-328.4943700557031	-184.60789438102094	111	647.8014045953751
40	-79.79992683112049	-182.05160248955997	73	414.74731743335724
41	-150.05452894928675	-181.28976740526772	95	399.819029211998
42	-236.37694201551994	-182.5708644892271	149	1238.34730052948
43	-145.68253105557147	-181.73249327482583	89	797.0649427771568
44	-155.02711385582785	-181.1390403988481	130	994.4258550405502
45	-149.63826259981875	-180.45424088147792	95	750.0045029520988
46	-183.03115502807418	-180.5090688420438	92	831.7309880256653
47	-201.6582958527164	-180.94967773809947	93	713.244391143322
48	-99.19633195777546	-179.2812421099296	69	468.66992568969727
49	-233.29722190967433	-180.36156170592446	108	503.49946677684784
50	-241.49623958219158	-181.56028087996893	113	723.397243142128
51	-139.9131836947229	-180.75937516486803	58	304.61802834272385
52	-131.56512163931353	-179.83118170212174	122	737.939566552639
53	-114.83828894012436	-178.62760961393658	97	560.1293856501579
54	-320.9769600395664	-181.21577962167532	57	410.23131489753723
55	-106.35568586582394	-179.878992233178	76	413.15987968444824
56	-120.24931794226461	-178.83285759649533	70	434.8101529479027
57	-146.50897120715564	-178.2755492104722	90	696.026393353939
58	-356.78565410476625	-181.30114420868057	190	1745.7349438667297
59	-223.27883482833164	-182.00077238567476	90	975.4065935611725
60	-241.64882808956497	-182.97860936442706	80	816.1174454689026
61	-124.00379835863029	-182.0274027353013	82	569.2202027440071
62	-156.26718752132737	-181.61851043031757	118	908.2464365959167
63	-457.54673593318915	-185.92988895379995	88	826.4289063215256
64	-243.9637919101513	-186.82271823005152	91	679.3250339627266
65	-214.8260007561476	-187.24701038953782	121	1210.2373529076576
66	-166.8834369556467	-186.94307645768868	71	614.9594466090202
67	-186.07999426189292	-186.93038407245638	78	603.7093014717102
68	-216.11920136997531	-187.3534104101016	129	1138.2762216329575
69	-116.86794114956626	-186.34647513495108	80	369.0481656193733
70	-156.4713340473723	-185.92569849991474	75	497.21547374129295
71	-226.3763942762556	-186.48751371903063	106	747.3976711034775
72	-148.6771054218543	-185.96956292043916	111	558.682087302208
73	-114.39191512481418	-185.00229740968746	76	350.40465635061264
74	-81.71857126827143	-183.62518106113524	111	577.9877728223801
75	-100.52485922328248	-182.53175577379508	88	482.9495562314987
76	-228.78634272264156	-183.13246469520868	132	545.234085381031
77	-248.70655174204282	-183.97315811888603	118	543.6058250665665
78	-112.9468820256658	-183.0740913328959	132	1003.2192034721375
79	-133.4356711641428	-182.45361108078652	93	562.152686715126
80	-171.72123584432177	-182.32111262107705	84	540.2569497823715
81	-188.2815935827552	-182.39380141329264	141	590.0417836904526
82	-164.4310346013104	-182.17738253603983	93	489.23954051733017
83	-107.72473852428767	-181.29104153589992	132	899.9894859194756
84	-134.00090852837107	-180.734687029929	82	489.98222506046295
85	-125.83879711493164	-180.09636272859183	70	306.6449611186981
86	-166.3581664149781	-179.9384524261365	126	419.2214764356613
87	-178.59249394318806	-179.92315744337571	67	332.85474437475204
88	-466.26191080537205	-183.14044680699365	100	481.3158960342407
89	-166.2368395794851	-182.95262894891022	99	371.4442483186722
90	-150.5984123423544	-182.59708810707994	75	542.2786532044411
91	-385.9412136393565	-184.8073503411264	123	548.8019468188286
92	-291.88357855490426	-185.95870763374768	140	714.9739148616791
93	-144.56256095307128	-185.51832309459155	83	359.2051200866699
94	-138.63670856136878	-185.02483241529447	81	507.9206917285919
95	-147.16607267678395	-184.63047033468501	88	495.31174582242966
96	-195.01045440614135	-184.73748047975155	63	391.94031035900116
97	-139.17787991636865	-184.27258659645173	154	912.0182777643204
98	-140.76907377959964	-183.8331571740593	98	632.2897838354111
99	-117.43726262555754	-183.1691982285743	75	501.737929046154
100	-230.1034177811369	-183.63389347166896	132	746.200618326664
101	-331.65836588852744	-184.3345574578552	94	342.6357453465462
102	-169.53897624911656	-184.77929955840884	89	519.5710217654705
103	-115.1586049301397	-184.10854799339168	94	546.4221938848495
104	-105.11476091143791	-183.43901673176464	79	332.822147667408
105	-142.4444652687656	-180.32114054445142	89	395.0751658678055
106	-123.86105464398395	-179.64698760362282	128	505.5486426949501
107	-185.92158923983925	-180.02088617954576	91	333.46211141347885
108	-146.7044819366971	-179.7624105821808	74	335.1505904197693
109	-200.1389198071162	-180.6069634566424	98	291.00954777002335
110	-264.39748079200666	-181.32353879736064	72	487.94887667894363
111	-97.86370557690874	-180.4488142023292	119	494.35742861032486
112	-222.89070286458352	-180.9349740589036	102	404.9557764530182
113	-155.41501448664832	-181.31303295011054	63	218.8237030506134
114	-174.83569642245402	-180.97005917165745	124	680.2000892162323
115	-198.32314561237646	-181.6545745466833	126	396.8776544928551
116	-146.83705794617765	-181.42163600926133	115	454.5839287042618
117	-134.9325254021491	-181.67051090329622	87	457.0637302696705
118	-283.11655330006977	-183.1233941276014	150	514.951652944088
119	-127.4970660734288	-182.6305207516149	75	211.60238498449326
120	-159.9881192880438	-182.5983787897697	114	233.04028648138046
121	-139.22982360101804	-182.83320838289663	89	366.20776548981667
122	-105.86482055605526	-182.12122588963837	80	202.49257731437683
123	-138.75948296153126	-180.94090151860294	89	324.58512741327286
124	-369.62571856643046	-183.04709511404215	81	374.20796197652817
125	-62.0176129781354	-182.3979488568382	79	214.43107599020004
126	-147.05779328342058	-182.5024757526568	57	322.0081116557121
127	-155.41709111198452	-182.71387794047368	89	410.8392025232315
128	-167.7929187660805	-182.45832729623243	102	444.8609663248062
129	-143.76658599652208	-182.35647972044242	96	294.75451028347015
130	-198.71327015892905	-180.00817431353707	113	541.5761330723763
131	-158.16263402383527	-180.0330207229561	121	490.297669172287
132	-190.23978989114528	-180.25319467732803	107	301.3463656306267
133	-95.97062332732669	-179.49956815806303	76	264.409322142601
134	-78.66841871295593	-180.01186850211752	114	493.29222455620766
135	-304.50675934770413	-180.92991089962584	108	355.40404802560806
136	-176.41971101105054	-181.4861769673774	64	458.54689061641693
137	-132.00469124365935	-181.34930667111013	115	457.840436398983
138	-169.56211267134563	-180.13557508600798	94	467.10436964035034
139	-134.61789626895538	-178.67562254031668	89	372.99645417928696
140	-111.16476238856397	-176.52384424658263	68	178.69797188043594
141	-132.25187099888254	-177.0431704264615	69	313.71585726737976
142	-162.8498682466216	-177.1698569541579	94	297.19295632839203
143	-226.87937087064626	-177.07582159628788	79	257.7405186891556
144	-154.47859886140418	-177.16291137654363	120	465.6886165738106
145	-138.47110411264282	-176.99899048799728	94	280.4901368021965
146	-97.86848391150232	-176.4864184217763	81	317.39272743463516
147	-65.8959361843344	-175.32666377975906	139	555.5863897800446
148	-97.00369510773461	-174.2904796139671	70	341.2155878543854
149	-115.42521457352666	-174.45116162006363	83	357.3609773516655
150	-133.59606261002324	-173.464021428978	115	493.06034326553345
151	-173.7063334580265	-172.79283423962985	100	379.1403172016144
152	-128.68240676483242	-172.68163842844282	119	502.08172184228897
153	-206.23133528487648	-173.4209078704781	146	659.5020685195923
154	-86.58078490151352	-173.1411306027691	114	667.7714478969574
155	-96.64780495181932	-170.92004985932604	103	454.5750741362572
156	-140.68188799769595	-171.25991324677034	111	537.4612656235695
157	-199.5404934634081	-172.044974390544	101	458.9755232334137
158	-120.60082212553895	-171.78845806300325	66	252.75847959518433
159	-117.75734155644956	-169.42184110707936	78	349.4009220004082
160	-143.65214327260261	-168.63345802236918	85	340.626571059227
161	-152.45909777457075	-167.75039138558705	81	396.05329394340515
162	-116.74670562882844	-167.67853898232167	80	286.34711837768555
163	-88.88694588593337	-167.0114078770207	92	434.816578745842
164	-234.94191893805007	-164.8073997879599	172	916.8204167485237
165	-106.03470807229547	-163.44176529451582	70	286.60553377866745
166	-161.74048941462078	-162.91616617232245	122	680.6195967197418
167	-168.43955294176027	-162.93157326129392	81	361.4871084690094
168	-141.6547789528546	-162.4917196443727	86	306.6997008919716
169	-145.57767594815266	-161.7932886996022	106	534.8474623560905
170	-109.68132371623417	-161.72213407154942	78	249.28224432468414
171	-130.77125701353805	-161.46767786329363	125	549.929161131382
172	-129.4677618337799	-160.50818645297207	99	431.6944939494133
173	-168.67306177370878	-160.706166218832	98	364.6625663638115
174	-149.4272853492766	-161.05305107253957	127	396.19806432724
175	-141.45778082813723	-161.6445283949145	91	336.25022250413895
176	-100.26860807363865	-161.641991254819	122	459.14920592308044
177	-104.44744947658647	-160.41091310386795	69	329.8235238790512
178	-160.92847818359903	-159.54182326665565	100	352.45640873908997
179	-43.497988070112996	-158.85421045521454	113	449.79111206531525
180	-137.11909764943206	-158.89068002437583	118	523.0363536477089
181	-132.84108519279684	-158.50572803772704	80	274.90079391002655
182	-147.5352237003119	-158.10229863295035	81	360.2878347635269
183	-243.6536424846491	-158.88668088922103	100	399.700033724308
184	-88.96180773984582	-158.70090929729588	128	654.894839823246
185	-124.2217214196278	-158.60408566255586	100	554.3141818642616
186	-78.38082069255634	-158.13420470787887	142	563.8226774334908
187	-127.8553609164673	-157.752988811854	105	489.66803801059723
188	-267.3763964614906	-158.63203735163918	93	415.06144469976425
189	-104.69964576046117	-155.05221294525393	96	459.75735622644424
190	-133.17461030971924	-154.7248641406028	113	463.48683404922485
191	-130.91121095878435	-154.52994135462683	113	322.50249564647675
192	-181.72045083884595	-152.50795360412675	117	324.44385492801666
193	-168.85479625290532	-151.2898468486614	133	456.0419319868088
194	-166.90241436995203	-151.51103351615527	114	401.7922693490982
195	-143.69041048246484	-151.56107016883936	132	600.0258015394211
196	-241.29499107265593	-152.49303965790742	124	519.5465030670166
197	-157.61261885174235	-152.12276405835894	128	712.3842131495476
198	-182.87557454559584	-152.55541450023247	88	354.2699446082115
199	-135.21625017056184	-152.50043604865786	97	345.7371988594532
200	-144.54987727772203	-152.7688777778872	113	624.1063487529755
201	-184.808429152898	-152.32041254394423	70	262.8425095677376
202	-66.73234571537947	-149.6973826412398	68	239.1913001537323
203	-176.86528879829655	-149.7699203892515	83	257.91015976667404
204	-154.71093945469903	-150.16152766177186	92	318.4767187833786
