Episodes	Reward	AvgReward	Iterations	Loss	Time
0	-151.8460366276894	-151.8460366276894	74	0	2.4047951698303223
1	-223.78295499698626	-187.81449581233784	65	866.3227266073227	4.615946054458618
2	-145.18369330099512	-173.6042283085569	79	2088.1105107069016	5.363789081573486
3	-130.30152249962785	-162.77855185632464	108	2451.1021869182587	5.862982273101807
4	-143.3347084790569	-158.8897831808711	64	839.8188120126724	6.151896238327026
5	-250.97441893212775	-174.23722247274722	77	511.5729510784149	6.502561092376709
6	-203.24406417137925	-178.38105700112322	86	393.3857126235962	6.88326621055603
7	-242.1854376064409	-186.35660457678793	117	395.80090725421906	7.406350135803223
8	-400.8064356586413	-210.18436358588275	102	507.82280027866364	9.454668045043945
9	-40.74042186153231	-193.23996941344768	117	15973.658761262894	10.085821390151978
10	-167.9280950149869	-190.93888992267856	91	41857.501024246216	10.514516115188599
11	-430.10114459410596	-210.86907781196416	84	20936.295273780823	11.145296335220337
12	-81.92307289386244	-200.95015435672556	112	13875.980959892273	11.843608140945435
13	-587.5164273604782	-228.56203099985075	110	13962.622648239136	12.38082218170166
14	-124.85551893799096	-221.64826352906007	73	7628.170929908752	12.703050136566162
15	-162.88736669904617	-217.97570747718424	91	7718.498729705811	13.170623064041138
16	-280.3714276104723	-221.64604395561295	87	5010.708157539368	13.66907811164856
17	-252.1196217891353	-223.33902050191975	102	5540.460155010223	14.180127143859863
18	-332.90326643470416	-229.10555976153998	80	2811.5649094581604	14.88806414604187
19	-199.53176309451618	-227.6268699281888	102	1547.833696603775	15.472921133041382
20	-254.14698611859927	-228.88973260392265	106	2682.6534519195557	16.26058030128479
21	-220.3537713403761	-228.5017343646705	67	1490.2524020671844	16.648290157318115
22	-174.45337286115532	-226.1518056036481	77	1655.809722661972	17.04894733428955
23	-144.0855202902186	-222.73237704892188	89	1526.7492166757584	17.564683198928833
24	-395.32909938425837	-229.63624594233534	76	1196.823724269867	17.93920636177063
25	-109.42874647563995	-225.01288057823166	71	943.7653706073761	18.306052207946777
26	-339.5275385313084	-229.2541642061234	95	1549.3976376056671	18.841339349746704
27	-371.9710190805195	-234.35119473735182	120	2123.8284410238266	21.674339056015015
28	-152.38332809569187	-231.52471657729458	110	1688.317901968956	22.324833154678345
29	-164.07559936543885	-229.2764126702327	91	1552.0501096248627	22.771323204040527
30	-179.30102188867397	-227.6643032901824	120	1659.8529833555222	23.42428231239319
31	-247.95402489407954	-228.29835709030425	91	1027.1721802949905	23.821553230285645
32	-411.7205796258213	-233.85660625804718	120	1621.7270426750183	24.360993146896362
33	-247.6589934917703	-234.26255882374494	86	1131.9526312351227	24.78190016746521
34	-523.271863625612	-242.5199675323697	108	1235.8375643491745	25.327736139297485
35	-293.91468652103407	-243.9475986153881	78	952.8052406311035	25.622149229049683
36	-122.60903329017886	-240.66817793092298	135	1881.5409399271011	26.262753009796143
37	-226.36981267658393	-240.29190516107192	110	1459.9756999015808	26.838194370269775
38	-58.15606171739009	-235.6217553291827	90	1466.017427444458	27.329838275909424
39	-184.52787280270593	-234.34440826602076	70	1275.5377638339996	27.59631109237671
40	-134.4446947275399	-231.90782988703342	84	1451.0439383983612	27.963954210281372
41	-165.14497794617077	-230.31823817415574	95	1785.7536549568176	28.41733407974243
42	-124.01279621882243	-227.84601859379913	104	1388.2027280330658	28.895689249038696
43	-178.19368507729357	-226.71755646842396	95	1356.4472342729568	29.37022638320923
44	-167.88380304288052	-225.4101397256341	124	1883.8588000535965	29.935673236846924
45	-185.79639450171385	-224.54897135120106	92	1269.169354557991	30.35627317428589
46	-40.50062997318524	-220.633049194222	106	1545.0804734230042	30.878300189971924
47	-158.22851912439134	-219.33295481776727	79	1067.071689605713	31.245980262756348
48	-221.4903217599374	-219.37698271454624	112	1581.393156528473	31.702259302139282
49	-142.9460957884601	-217.84836497602453	75	928.8110024929047	31.9905903339386
50	-266.58407051479116	-218.80396704541212	125	1615.7596389055252	32.611319065093994
51	-135.61172376452936	-217.20411621308742	69	783.5439779758453	33.080270290374756
52	-201.65947925054164	-216.91082117605828	98	1249.634437084198	33.594972372055054
53	-223.76678963081596	-217.03778355485008	83	979.1154061555862	34.0800724029541
54	-150.93982349942837	-215.8360024629333	125	1417.229133605957	34.647802114486694
55	-317.96594006657153	-217.65975134871255	134	1483.3004596233368	35.272518157958984
56	-150.87661594502305	-216.48811739426185	123	1385.8799374103546	35.86273121833801
