Episodes	Reward	AvgReward	Iterations	Loss
0	-430.0557386772024	-430.0557386772024	100	124.75757950544357
1	-155.23464104157335	-292.64518985938787	66	614.8766797184944
2	-177.65719907911256	-254.31585959929612	96	1317.6185535043478
3	-432.6731791195508	-298.9051894793598	93	1607.4463263750076
4	-223.58428109805516	-283.84100780309893	99	2022.1487449407578
5	-409.04397811877766	-304.7081695223787	100	1395.3382672667503
6	-118.58494871474842	-278.1191379784315	115	2540.8746271133423
7	-225.55451367160103	-271.54855994007767	61	1032.8620890974998
8	-139.46751857713303	-256.87288867752824	94	1383.858326971531
9	-176.9810815099007	-248.88370796076552	71	884.4459753036499
10	-217.5544558772565	-246.03559413499195	83	819.4798553884029
11	-415.69423161893934	-260.17381392532087	110	1138.9216000437737
12	-294.3263378069131	-262.80093114698184	127	1008.6173090934753
13	-145.33324630737832	-254.4103822298673	91	830.1996288597584
14	-137.0864721981635	-246.58878822775372	65	511.46145129203796
15	-32.98698028964401	-233.23867523162187	100	856.3709017038345
16	-271.49421961163875	-235.48900137162286	94	863.7184591889381
17	-324.71571425331786	-240.4460409761615	85	1496.1341769099236
18	-336.0686853591531	-245.47881173316105	120	1308.5205556750298
19	-198.11696188696757	-243.11071924085135	65	507.09862101078033
20	-310.4283931855384	-246.31632276202694	85	642.7921170592308
21	-276.8072364157397	-247.70227338265025	79	632.6506072878838
22	-174.9911973075735	-244.54092224895126	114	1386.4836364388466
23	-269.9081758344623	-245.59789114834754	67	522.5000826120377
24	-84.12127618006421	-239.1388265496162	126	1102.132819056511
25	-216.5610103487188	-238.27044900342784	131	1152.4435201883316
26	-118.14318127545914	-233.821290939429	61	588.900775551796
27	-249.2966647438107	-234.37398286101407	75	840.2649832367897
28	-105.027306244704	-229.91375263286542	138	1601.5279755294323
29	-183.93848816459797	-228.38124381725655	114	900.6240493059158
30	-144.34801673013695	-225.6704945563817	112	953.137166082859
31	-334.30219052827294	-229.0652350555033	107	961.5177508890629
32	-201.3914543565294	-228.2266356403829	93	795.9204902052879
33	-160.83372225001062	-226.24449112890136	77	681.3069815039635
34	-102.70454149179261	-222.71477828212682	105	1147.431259393692
35	-462.28493483023493	-229.3695048529076	135	1173.454250574112
36	-226.19103464904478	-229.28360025280318	107	1200.2530255317688
37	-134.60681618637562	-226.7921059352656	75	885.1085768342018
38	-289.57692788241343	-228.40197316467965	86	772.1916625499725
39	-144.62310632122	-226.30750149359318	97	1055.8297761678696
40	-356.484875098174	-229.48255938638786	112	1058.0145116448402
41	-128.07303615399377	-227.0680469284737	76	651.6523611843586
42	-277.1146643888037	-228.23192175313255	109	1068.558538198471
43	-150.80642851818857	-226.47225145233836	119	1420.642631649971
44	-160.41612762473562	-225.00433758950277	107	1441.3719075322151
