Episodes	Reward	AvgReward	Iterations	Loss
0	-278.0211362179914	-278.0211362179914	79	35.552173022180796
1	-37.11908223480138	-157.5701092263964	120	nan
2	-192.26006878213514	-169.13342907830932	84	nan
3	-147.5296526573645	-163.7324849730731	63	nan
4	-134.0379598169294	-157.79357994184437	95	nan
5	-206.04844959548672	-165.8360582174514	67	nan
6	-198.35814193176782	-170.4820701766395	128	nan
7	-392.9069694485878	-198.285182585633	95	nan
8	-220.1838517707249	-200.71836805064322	88	nan
9	-155.59231467821363	-196.20576271340025	77	nan
10	-436.42037567369107	-218.04345480069944	83	nan
11	-151.27954507271332	-212.47979565670062	93	nan
12	-182.44469722563173	-210.16940346969534	102	nan
13	-469.0882522332701	-228.6636069528078	105	nan
14	-206.9188006420386	-227.2139531987565	100	nan
15	-270.6274222805015	-229.92729501636558	130	nan
16	-245.71377401874787	-230.85591142827042	94	nan
17	-152.74395341326732	-226.5163582052147	68	nan
18	-144.98079543860362	-222.22501279644567	73	nan
19	-140.64885673862892	-218.14620499355482	80	nan
20	-146.62648444376956	-214.7405040149936	80	nan
21	-311.4035163303572	-219.13427730205558	106	nan
22	-213.0211909593184	-218.86849093932787	58	nan
23	-150.19884974594646	-216.00725588960367	81	nan
24	-158.98609344814793	-213.72640939194542	81	nan
25	-234.80384477140782	-214.5370799834632	81	nan
26	-133.34580448353555	-211.5299957056881	79	nan
27	-239.07806875996516	-212.51385545762656	80	nan
28	-121.53286943042285	-209.37658007737815	61	nan
29	-190.90549067731087	-208.76087709737592	82	nan
30	-216.91031474112086	-209.023762182658	104	nan
31	-138.06018939657665	-206.80615053309302	69	nan
32	-230.7390674277424	-207.53139043899148	125	nan
33	-470.41223532474123	-215.2631799944547	77	nan
34	-116.62996830586643	-212.4450882319236	62	nan
35	-236.2348195452716	-213.10591410173882	111	nan
36	-151.85445671572558	-211.45046930752224	127	nan
37	-266.28291351621033	-212.8934283656456	62	nan
38	-120.02409298174447	-210.512163355802	65	nan
39	-344.5157191029922	-213.86225224948174	120	nan
40	-409.4164945434619	-218.6318679151886	88	nan
41	-294.41941093108744	-220.43633322509092	131	nan
42	-303.96744155169324	-222.37891713966306	94	nan
43	-353.0303178527299	-225.34826715586914	94	nan
44	-138.55324409946587	-223.41948886572686	94	nan
45	-467.6712914304008	-228.72931066061108	84	nan
46	-142.34420178121175	-226.89132962062385	80	nan
47	-492.29136437172554	-232.4204970112718	87	nan
48	-341.1747503829234	-234.63997156987693	106	nan
49	-166.48048603383978	-233.2767818591562	90	nan
50	-195.12712284903313	-232.52874932954592	112	nan
51	-228.52783541301068	-232.45180867730488	108	nan
52	-407.4767604421396	-235.75416625777345	91	nan
53	-30.85460296080501	-231.95972990042216	100	nan
54	-148.75906110573936	-230.44699046779155	58	nan
55	-189.95441488968152	-229.72390876103964	92	nan
56	-318.4229609720673	-231.28003248404013	107	nan
57	-189.90556882361767	-230.56667966230873	80	nan
58	-159.03838378959654	-229.35433566446616	71	nan
59	-137.11506952104708	-227.81701456207583	65	nan
60	-184.08336023469246	-227.1000694091679	107	nan
61	-195.51753476609935	-226.5906736891184	71	nan
62	-128.21592908167167	-225.02916980646052	81	nan
63	-220.8483362101011	-224.96384428151737	84	nan
64	-173.07319591138534	-224.16552661428457	61	nan
65	-180.22739996010824	-223.49979742255462	96	nan
