Episodes	Reward	AvgReward	Iterations	Loss
0	-143.5198704046847	-143.5198704046847	106	860.9974484443665
1	-153.49887225994274	-148.50937133231372	94	9012.884151637554
2	-327.13126052681736	-208.0500010638149	87	5218.86347591877
3	-404.60929966342326	-257.189825713717	102	3381.44591486454
4	-290.7805225463219	-263.907965080238	73	2547.7681831121445
5	-207.84910271261214	-254.56482135230036	60	3818.447979092598
6	-237.82577220317336	-252.1735286167108	118	969872.8656687737
7	-152.60145763276452	-239.7270197437175	107	2336069.4868125916
8	-174.19654359064145	-232.44585572670906	94	1028073.0411529541
9	-228.62539933227603	-232.06381008726575	80	52139.90294075012
10	-291.0924058021144	-237.43004606134292	133	247551.0281677246
11	-285.66810964449087	-241.4498846932719	113	241937.83903551102
12	-148.29194653360017	-234.28388945022027	88	1293154.3753871918
13	-231.51310168738425	-234.0859760385891	125	309894.4266757965
14	-359.17710310489053	-242.4253845096759	76	34948.39002275467
15	-169.57491049470755	-237.87222988374032	106	455061.90183770657
16	-147.7057686322973	-232.56832039836132	103	69695.34862136841
17	-157.06384904693886	-228.37362754550452	89	50111.989921331406
18	-226.7005149175876	-228.28556898614045	92	96816.4081363678
19	-352.8514337888648	-234.51386222627667	82	69841.71229934692
20	-506.866101763787	-247.4830164899676	127	67198.41589641571
21	-146.58409030856504	-242.89670166354026	69	27157.714951515198
22	-312.43147841489383	-245.91995282664257	138	67147.50180375576
23	-308.3222827859035	-248.52004990827845	120	58311.5849711895
24	-320.5638108651346	-251.4018003465527	86	48206.277467250824
25	-179.36320628275877	-248.63108519025295	123	20491.94740462303
26	-187.9311092881868	-246.38293793462088	90	3495.2243885993958
27	-141.49390337796785	-242.63690098616897	122	16168.403132677078
28	-257.81329227114395	-243.1602248235819	72	12892.085219025612
29	-86.4183262418126	-237.93549487085627	68	27416.280067443848
30	-173.96480038394748	-235.87192408095598	75	32141.421191096306
31	-246.02286351880625	-236.1891409383888	89	7771.612539291382
32	-133.76309516094923	-233.08532136937546	66	47814.6243686676
33	-132.38386810721332	-230.12351392048834	65	25399.345665454865
34	-151.63673448333495	-227.88103450799824	82	4696.234861373901
35	-222.36880743843477	-227.72791708939926	80	28965.863351345062
36	-569.2728878524013	-236.95886224515607	93	12877.42561674118
37	-98.88412135472119	-233.3253164322499	125	33495.99472141266
38	-432.97120191363297	-238.4444417010033	108	17139.67933511734
39	-507.1328946624563	-245.16165302503964	94	3835.7728567123413
40	-153.6130789379398	-242.92876097413478	111	5743.903899431229
41	-424.38888591876264	-247.24924013948308	109	4785.832233071327
42	-292.02084479929454	-248.29044024785074	89	2700.1663885116577
43	-222.6339758179049	-247.70733878353383	143	5028.083345770836
44	-154.04806391999927	-245.62602156434417	65	3031.91799223423
45	-301.2372652799844	-246.83496164511894	106	4947.012415647507
46	-161.7937640652641	-245.02557446256884	74	985.3807851076126
47	-341.8548363331814	-247.04285075153993	93	2790.264295578003
48	-178.41793165109536	-245.6423421984696	94	2169.600747346878
49	-399.88009451491797	-248.72709724479856	140	3993.2159938812256
50	-234.2818699334943	-248.44385749359654	73	2045.346157848835
51	-308.8279966099956	-249.6050909381427	95	3800.0040974617004
52	-134.7041753073672	-247.4371491337884	63	2059.3914501667023
53	-502.6755430729797	-252.16378605858824	126	4424.355651497841
